Ministry,Plan Revenue,Plan Capital,Plan Total,Non Plan Revenue,Non Plan Capital,Non Plan Total,Total,year,Revenue,Capital
MINISTRY OF AGRICULTURE 2723.74,220.81,,2944.55,5021.01,0.46,5021.47 7966.02,,2000-01,,
MINISTRY OF CHEMICALS AND FERTILISERS 43.48,193.52,,237.00,8686.22,200.86,8887.08 9124.08,,2000-01,,
MINISTRY OF CIVIL AVIATION 9.75,45.25,,55.00,167.00,...,167.00 222.00,,2000-01,,
MINISTRY OF COMMERCE AND INDUSTRY 775.07,83.75,,858.82,954.91,...,954.91 1813.73,,2000-01,,
MINISTRY OF COMMUNICATIONS 49.02,87.03,,136.05,2008.94,-10.49,1998.45 2134.50,,2000-01,,
"MINISTRY OF CULTURE, YOUTH AFFAIRS & SPORTS375.40",1.85,,377.25,304.97,0.03,305.00 682.25,,2000-01,,
MINISTRY OF DEFENCE,......,...,,52983.84 17963.95,,70947.79 70947.79,,2000-01,,
DEPARTMENT OF DISINVESTMENT,......,...,,4.15 ...,,4.15 4.15,,2000-01,,
MINISTRY OF ENVIRONMENT AND FORESTS,834.05 15.95,850.00,,115.00 ...,,115.00 965.00,,2000-01,,
MINISTRY OF EXTERNAL AFFAIRS,345.00 230.00,575.00,,1875.70 175.02,,2050.72 2625.72,,2000-01,,
MINISTRY OF FINANCE,####### 19174.66 32823.24,,,######## 997.50,,######## 158765.45,,2000-01,,
MINISTRY OF CONSUMER AFFAIRS AND PUBLIC DIST2R4.I7B0UTIO43N.30,,,68.00,8500.05,-4.25,8495.80,8563.80,2000-01,,
MINISTRY OF HEALTH AND FAMILY WELFARE 4897.85,0.01,,4897.86,961.64,-6.67,954.97,5852.83,2000-01,,
MINISTRY OF HOME AFFAIRS 449.96,654.70,1104.66,9184.61,670.39,9855.00,10959.66,,2000-01,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT 6908.82,,0.22,,6909.04,2987.94,...,2987.94 9896.98,2000-01,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTER3.P7R5ISE1S34.25,,,,138.00,106.78,219.65,326.43 464.43,2000-01,,
MINISTRY OF INFORMATION AND BROADCASTING,83.53,186.47,,270.00,1114.00,...,1114.00 1384.00,2000-01,,
MINISTRY OF INFORMATION TECHNOLOGY,316.03,49.17,,365.20,27.00,...,27.00 392.20,2000-01,,
MINISTRY OF LABOUR,98.00,...,,98.00,805.01,...,805.01 903.01,2000-01,,
"MINISTRY OF LAW, JUSTICE AND COMPANY AFFAIRS75.00",,...,,75.00,439.19,2.90,442.09 517.09,2000-01,,
MINISTRY OF MINES AND MINERALS 452.37,,670.63,1123.00,398.60,112.00,510.60 1633.60,,2000-01,,
MINISTRY OF NON-CONVENTIONAL ENERGY SOURC32E5S.45,,113.55,439.00,5.30,...,5.30 444.30,,2000-01,,
MINISTRY OF PARLIAMENTARY AFFAIRS ...,,...,...,4.82,...,4.82 4.82,,2000-01,,
"MINISTRY OF PERSONNEL, PUBLIC 18.43 GRIEVANCES AND PENSIONS",,0.90,19.33,169.00,11.00,180.00 199.33,,2000-01,,
MINISTRY OF PETROLEUM AND NATURAL GAS ...,,...,...,7.54,...,7.54 7.54,,2000-01,,
MINISTRY OF PLANNING 11.06,,8.94,20.00,30.00,...,30.00 50.00,,2000-01,,
MINISTRY OF POWER 461.70,,2179.27,2640.97,55.74,...,55.74 2696.71,,2000-01,,
MINISTRY OF RURAL DEVELOPMENT 9660.00,,100.00,9760.00,21.18,...,21.18 9781.18,,2000-01,,
MINISTRY OF SCIENCE AND TECHNOLOGY 807.77,24.23,,832.00,1052.33,1.94,1054.27 1886.27,,2000-01,,
MINISTRY OF SMALL SCALE INDUSTRIES AND AGRO72 A9.N47D RURAL INDUTRIES,42.08,,771.55,133.77,1.81,135.58 907.13,,2000-01,,
MINISTRY OF STATISTICS AND PROGRAMME IMPL1E6M73E.0N5TAT6I6O.9N5,,,1740.00,129.05,...,129.05 1869.05,,2000-01,,
