Ministry,Revenue,Capital,Total,Year
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,3509.95,383.5,3893.45,2001-02
MINISTRY OF CHEMICALS AND FERTILISERS,14261.77,433.19,14694.96,2001-02
MINISTRY OF CIVIL AVIATION,219.33,58.6,277.93,2001-02
MINISTRY OF COAL AND MINES,439.43,365.07,804.5,2001-02
MINISTRY OF COMMERCE AND INDUSTRY,1617.24,100.62,1717.86,2001-02
MINISTRY OF COMMUNICATIONS,1701.73,96.37,1798.1,2001-02
MINISTRY OF DEFENCE,53147.73,19996.95,73144.68,2001-02
DEPARTMENT OF DISINVESTMENT,4.04,0,4.04,2001-02
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",851.8,59.2,911,2001-02
MINISTRY OF EXTERNAL AFFAIRS,2535.73,347.66,2883.39,2001-02
MINISTRY OF FINANCE,153584.04,163885.22,178593.62,2001-02
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",13994.4,14020.12,14038.77,2001-02
MINISTRY OF HEALTH AND FAMILY WELFARE,6504.31,1243.8,6752.09,2001-02
MINISTRY OF HOME AFFAIRS,10493.89,11993.42,12443.28,2001-02
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,10128.01,2559.85,10128.43,2001-02
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,177.32,590.5,669.71,2001-02
MINISTRY OF INFORMATION AND BROADCASTING,1290.19,1313.81,1472,2001-02
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,346.6,132.8,452.2,2001-02
MINISTRY OF LABOUR AND EMPLOYMENT,1019.82,6.06,1025.88,2001-02
MINISTRY OF LAW AND JUSTICE,515.57,5.8,521.37,2001-02
MINISTRY OF COAL AND MINES,417.33,151.13,568.46,2001-02
MINISTRY OF NEW AND RENEWABLE ENERGY,420.12,167.45,587.57,2001-02
MINISTRY OF PARLIAMENTARY AFFAIRS,4.64,0,4.64,2001-02
